cve,epss,percentile,date
CVE-2025-9801,0.00103,0.28973,2025-11-12
CVE-2025-9800,0.00064,0.19984,2025-11-12
CVE-2025-9796,0.00045,0.13473,2025-11-12
CVE-2025-9794,0.00055,0.17256,2025-11-12
CVE-2025-9789,0.00051,0.15671,2025-11-12
CVE-2025-11031,0.00159,0.3739,2025-11-12
CVE-2025-10779,0.00106,0.29302,2025-11-12
CVE-2025-10769,0.00057,0.17751,2025-11-12
CVE-2025-10083,0.00055,0.17151,2025-11-12
CVE-2025-9923,0.00057,0.17688,2025-11-13
CVE-2025-9801,0.00103,0.28986,2025-11-13
CVE-2025-9800,0.00064,0.20008,2025-11-13
CVE-2025-9796,0.00045,0.13499,2025-11-13
CVE-2025-9794,0.00055,0.17286,2025-11-13
CVE-2025-9789,0.00051,0.15699,2025-11-13
CVE-2025-11031,0.00159,0.37402,2025-11-13
CVE-2025-10779,0.00106,0.29316,2025-11-13
CVE-2025-10769,0.00057,0.1778,2025-11-13
CVE-2025-10083,0.00055,0.17181,2025-11-13
CVE-2025-9923,0.00057,0.17686,2025-11-14
CVE-2025-9801,0.00103,0.2898,2025-11-14
CVE-2025-9800,0.00064,0.19998,2025-11-14
CVE-2025-9796,0.00045,0.13526,2025-11-14
CVE-2025-9794,0.00055,0.1729,2025-11-14
CVE-2025-9789,0.00051,0.15696,2025-11-14
CVE-2025-11031,0.00159,0.37403,2025-11-14
CVE-2025-10779,0.00106,0.29315,2025-11-14
CVE-2025-10769,0.00057,0.17776,2025-11-14
CVE-2025-10083,0.00055,0.17184,2025-11-14
CVE-2025-9923,0.00057,0.17648,2025-11-15
CVE-2025-9801,0.00113,0.30627,2025-11-15
CVE-2025-9800,0.00051,0.15686,2025-11-15
CVE-2025-9796,0.00045,0.13507,2025-11-15
CVE-2025-9794,0.00055,0.17255,2025-11-15
CVE-2025-9789,0.00051,0.15653,2025-11-15
CVE-2025-11031,0.00159,0.37402,2025-11-15
CVE-2025-10779,0.00079,0.23984,2025-11-15
CVE-2025-10769,0.00057,0.1774,2025-11-15
